[quick] runs_dir = /root/runs/quick_phase1
[quick] image-size = 256
[quick] frames-per-video train/eval = 30/10
[quick] enumerating videos for the disjoint split ...
[quick] split: train=1400 val=300 test=300 (of 2000 total videos)
[quick] dataset sizes: train=124227 val=8160 test=8540
[quick] extracting features (val) ...
  [4525/8540] 8.82 images/s, ETA 455s
  [4550/8540] 8.84 images/s, ETA 451s
  [4575/8540] 8.85 images/s, ETA 448s
  [4600/8540] 8.87 images/s, ETA 444s
  [4625/8540] 8.88 images/s, ETA 441s
  [4650/8540] 8.88 images/s, ETA 438s
  [4675/8540] 8.87 images/s, ETA 436s
  [4700/8540] 8.87 images/s, ETA 433s
  [4725/8540] 8.85 images/s, ETA 431s
  [4750/8540] 8.83 images/s, ETA 429s
  [4775/8540] 8.85 images/s, ETA 426s
  [4800/8540] 8.85 images/s, ETA 423s
  [4825/8540] 8.86 images/s, ETA 419s
  [4850/8540] 8.85 images/s, ETA 417s
  [4875/8540] 8.85 images/s, ETA 414s
  [4900/8540] 8.84 images/s, ETA 412s
  [4925/8540] 8.85 images/s, ETA 408s
  [4950/8540] 8.84 images/s, ETA 406s
  [4975/8540] 8.83 images/s, ETA 404s
  [5000/8540] 8.83 images/s, ETA 401s
  [5025/8540] 8.84 images/s, ETA 398s
  [5050/8540] 8.84 images/s, ETA 395s
  [5075/8540] 8.86 images/s, ETA 391s
  [5100/8540] 8.87 images/s, ETA 388s
  [5125/8540] 8.86 images/s, ETA 386s
  [5150/8540] 8.85 images/s, ETA 383s
  [5175/8540] 8.83 images/s, ETA 381s
  [5200/8540] 8.81 images/s, ETA 379s
  [5225/8540] 8.81 images/s, ETA 376s
  [5250/8540] 8.79 images/s, ETA 374s
  [5275/8540] 8.79 images/s, ETA 371s
  [5300/8540] 8.79 images/s, ETA 369s
  [5325/8540] 8.77 images/s, ETA 367s
  [5350/8540] 8.79 images/s, ETA 363s
  [5375/8540] 8.78 images/s, ETA 360s
  [5400/8540] 8.78 images/s, ETA 358s
  [5425/8540] 8.80 images/s, ETA 354s
  [5450/8540] 8.79 images/s, ETA 352s
  [5475/8540] 8.76 images/s, ETA 350s
  [5500/8540] 8.75 images/s, ETA 347s
  [5525/8540] 8.75 images/s, ETA 345s
  [5550/8540] 8.73 images/s, ETA 343s
  [5575/8540] 8.73 images/s, ETA 340s
  [5600/8540] 8.73 images/s, ETA 337s
  [5625/8540] 8.72 images/s, ETA 334s
  [5650/8540] 8.72 images/s, ETA 331s
  [5675/8540] 8.72 images/s, ETA 328s
  [5700/8540] 8.72 images/s, ETA 326s
  [5725/8540] 8.71 images/s, ETA 323s
  [5750/8540] 8.71 images/s, ETA 320s
  [5775/8540] 8.72 images/s, ETA 317s
  [5800/8540] 8.72 images/s, ETA 314s
  [5825/8540] 8.73 images/s, ETA 311s
  [5850/8540] 8.72 images/s, ETA 308s
  [5875/8540] 8.72 images/s, ETA 306s
